akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0;0.001;l1;0.0001;64;0.8;0.999;1.00E-08;0.015264516;0.321559425;549;2.94
relu;(100, 50, 25);0.1;0.01;none;1.00E-05;16;0.8;0.9;1.00E-08;0.015265294;0.321524864;732;4.88
relu;(100, 100, 100, 50);0;0.001;l2;0.0001;16;0.8;0.99;1.00E-06;0.01526734;0.321433931;732;4.32
relu;(100, 50, 25);0;0.01;l2;1.00E-05;64;0.8;0.9;1.00E-08;0.015267817;0.321412704;549;2.75
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;0.9;0.9;1.00E-08;0.015267967;0.321406052;732;4.3
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.99;0.99;1.00E-07;0.015269076;0.321356745;549;3.81
relu;(100, 100, 100, 50);0;0.001;l1;1.00E-05;32;0.8;0.9;1.00E-07;0.015269218;0.321350456;610;4.47
relu;(100, 50, 25);0;0.001;l2;0.0001;16;0.9;0.9;1.00E-08;0.015269429;0.321341076;732;3.52
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.99;0.999;1.00E-08;0.015270863;0.321277333;549;2.69
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;64;0.8;0.9;1.00E-07;0.015271392;0.321253843;549;4.06
relu;(50, 50, 50);0;0.03;l2;1.00E-05;16;0.9;0.9;1.00E-07;0.015272434;0.321207531;732;2.27
relu;(50, 50, 50);0;0.001;l1;1.00E-05;32;0.8;0.9;1.00E-08;0.015272988;0.3211829;610;3.67
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;32;0.8;0.999;1.00E-07;0.015273753;0.321148901;610;8.37
relu;(100, 50, 25);0;0.01;l2;0.0001;16;0.8;0.999;1.00E-06;0.015273796;0.321146987;732;3.39
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;16;0.99;0.999;1.00E-06;0.015274548;0.321113573;732;4.22
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;0.8;0.99;1.00E-06;0.015275232;0.321083142;549;10.86
relu;(100, 50, 25);0;0.001;l1;1.00E-05;32;0.8;0.9;1.00E-06;0.015275263;0.3210818;610;3.11
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;0.9;0.9;1.00E-08;0.01527588;0.321054343;549;10.39
relu;(50, 50, 50);0;0.01;l2;1.00E-05;64;0.8;0.9;1.00E-06;0.015277528;0.320981125;549;3.57
relu;(50, 50, 50);0;0.01;l2;0.0001;16;0.8;0.99;1.00E-06;0.01527844;0.320940597;732;4.32
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.9;0.9;1.00E-08;0.0152801;0.320866775;610;3.24
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;64;0.9;0.9;1.00E-06;0.015281547;0.320802463;549;6.88
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;64;0.8;0.9;1.00E-06;0.015282644;0.320753716;549;4.41
relu;(50, 50, 50);0;0.03;l2;0.0001;64;0.8;0.9;1.00E-07;0.015282917;0.320741584;549;2.02
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.8;0.9;1.00E-07;0.015283229;0.320727734;549;3.45
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.9;0.999;1.00E-06;0.015283727;0.320705609;610;3.09
relu;(100, 50, 25);0;0.001;l1;1.00E-05;64;0.8;0.99;1.00E-07;0.015284143;0.320687121;549;3.06
relu;(100, 50, 25);0;0.01;l2;1.00E-05;32;0.8;0.9;1.00E-08;0.015284232;0.320683166;610;3.07
relu;(50, 50, 50);0;0.03;l1;1.00E-05;16;0.8;0.999;1.00E-06;0.01528494;0.320651699;732;2.35
relu;(100, 50, 25);0;0.001;l2;0.0001;16;0.99;0.99;1.00E-07;0.015285027;0.320647796;732;3.44
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.99;0.99;1.00E-08;0.015285095;0.32064479;549;3.22
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;0.9;0.999;1.00E-08;0.015285578;0.32062334;610;4.05
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;64;0.9;0.99;1.00E-07;0.015285746;0.320615872;549;3.94
relu;(50, 50, 50);0;0.01;l1;1.00E-05;64;0.99;0.99;1.00E-06;0.015286431;0.32058539;549;3.22
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.99;0.999;1.00E-08;0.015286443;0.320584872;549;3.06
relu;(50, 50, 50);0;0.03;l2;1.00E-05;16;0.8;0.9;1.00E-06;0.015286462;0.320584028;732;2.2
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;0.8;0.99;1.00E-06;0.015287448;0.320540206;732;3.29
relu;(100, 50, 25);0;0.01;l2;0.0001;32;0.9;0.9;1.00E-06;0.015287757;0.32052649;610;2.86
relu;(100, 100, 100, 50);0;0.001;l2;0.0001;16;0.8;0.9;1.00E-08;0.015288527;0.320492265;732;4.43
relu;(50, 50, 50);0;0.01;l2;0.0001;64;0.9;0.9;1.00E-07;0.015288891;0.320476078;549;3.35
relu;(100, 50, 25);0;0.001;l1;1.00E-05;64;0.99;0.9;1.00E-08;0.015289015;0.320470564;549;3.09
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.8;0.99;1.00E-06;0.015289509;0.320448587;732;3.8
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;0.8;0.9;1.00E-08;0.015290763;0.320392881;610;3.82
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;0.9;0.999;1.00E-07;0.015290983;0.320383082;732;5.73
relu;(50, 50, 50);0;0.001;l1;0.0001;32;0.8;0.99;1.00E-07;0.015291994;0.320338154;610;3.61
relu;(50, 50, 50);0.1;0.01;l1;1.00E-05;32;0.9;0.99;1.00E-08;0.015292787;0.320302913;610;2.88
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;64;0.9;0.9;1.00E-06;0.01529458;0.320223245;549;3.8
relu;(100, 50, 25);0;0.01;l1;1.00E-05;64;0.9;0.999;1.00E-07;0.015295005;0.320204318;549;2.92
relu;(100, 50, 25);0;0.01;l2;0.0001;64;0.8;0.99;1.00E-06;0.015295354;0.320188822;549;2.84
relu;(100, 100, 100, 50);0;0.01;l2;0.0001;16;0.8;0.9;1.00E-06;0.015295794;0.320169247;732;4.45
