akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;64;0.0001;0.8;0.019969035;0.158735935;504;0.92
relu;(100, 100, 100, 50);0;0.03;l2;0.001;16;0.0001;0.9;0.019981066;0.158229101;506;0.72
relu;(100, 50, 25);0;0.001;l2;0.01;16;0.0001;0.9;0.01998695;0.157981235;506;1.06
relu;(100, 50, 25);0;0.001;l1;0.001;16;1.00E-06;0.8;0.019989411;0.157877544;506;0.87
relu;(50, 25);0;0.001;l1;0.001;32;0.0001;0.99;0.019990445;0.157834001;506;0.29
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.0001;0.8;0.019990585;0.157828089;506;1.49
relu;(100, 100, 100, 50);0;0.001;l2;0.001;16;1.00E-06;0.9;0.020012316;0.156912578;506;1.64
relu;(100, 50, 25);0;0.03;l2;1.00E-05;16;1.00E-05;0.8;0.020018373;0.156657418;506;1.22
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;1.00E-06;0.8;0.02003126;0.156114521;506;0.7
relu;(100, 50, 25);0;0.003;l2;0.01;32;1.00E-05;0.8;0.020035719;0.155926641;506;1.31
relu;(50, 25);0.2;0.003;l2;1.00E-05;16;1.00E-06;0.99;0.02004559;0.155510822;506;0.31
relu;(100, 50, 25);0;0.001;l1;0.001;32;1.00E-06;0.99;0.020050931;0.155285822;506;1.52
relu;(50, 25);0;0.03;l2;1.00E-05;64;1.00E-05;0.9;0.020056036;0.155070726;504;0.37
relu;(50, 25);0;0.03;l2;0.001;16;1.00E-05;0.9;0.020057412;0.155012783;506;0.26
relu;(50, 25);0.2;0.003;l2;0.001;32;1.00E-05;0.99;0.020061504;0.15484038;506;0.35
relu;(100, 50, 25);0;0.003;l2;1.00E-05;32;1.00E-06;0.99;0.020062879;0.15478247;506;0.4
relu;(50, 25);0.2;0.03;l1;1.00E-05;32;0.0001;0.9;0.020063451;0.154758344;506;0.39
relu;(100, 50, 25);0;0.003;l1;0.001;32;1.00E-05;0.99;0.020064391;0.154718746;506;1.47
relu;(50, 25);0.2;0.001;l1;1.00E-05;32;1.00E-06;0.9;0.020066766;0.154618688;506;0.37
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;16;1.00E-06;0.9;0.020066932;0.154611711;506;2.23
relu;(50, 25);0.2;0.03;l2;1.00E-05;64;0.0001;0.9;0.02007212;0.15439313;504;0.34
relu;(50, 25);0;0.003;l1;0.001;16;1.00E-05;0.8;0.020073985;0.154314558;506;0.28
relu;(50, 25);0;0.03;l2;0.001;64;0.0001;0.8;0.020077572;0.154163445;504;0.3
relu;(50, 25);0;0.001;l2;0.01;64;1.00E-06;0.99;0.020078025;0.154144368;504;0.34
relu;(50, 25);0.2;0.003;l2;1.00E-05;64;1.00E-06;0.9;0.020082872;0.153940193;504;0.4
relu;(100, 50, 25);0;0.03;l2;0.001;16;1.00E-06;0.99;0.02008592;0.153811754;506;1.12
relu;(50, 25);0;0.003;l1;0.001;32;0.0001;0.99;0.020088148;0.153717895;506;0.32
relu;(50, 25);0.2;0.03;l2;0.001;32;0.0001;0.8;0.020089176;0.153674615;506;0.34
relu;(50, 25);0;0.03;l2;0.001;32;1.00E-05;0.99;0.020105104;0.153003578;506;0.32
relu;(50, 25);0.2;0.003;l1;1.00E-05;32;0.0001;0.99;0.020105134;0.153002313;506;0.37
relu;(100, 100, 100, 50);0;0.03;l2;0.001;32;1.00E-05;0.9;0.0201083;0.15286894;506;1.3
relu;(100, 100, 100, 50);0;0.003;l2;0.01;64;0.0001;0.8;0.020116863;0.152508174;504;1.99
relu;(100, 100, 100, 50);0;0.001;l1;0.001;64;0.0001;0.8;0.020120254;0.152365354;504;3.23
relu;(50, 25);0;0.003;l2;0.01;32;1.00E-05;0.99;0.020131348;0.151897978;506;0.29
relu;(100, 100, 100, 50);0;0.001;l1;0.001;64;0.0001;0.9;0.020131868;0.151876047;504;3.14
relu;(50, 25);0;0.03;l1;1.00E-05;16;1.00E-05;0.9;0.020142641;0.151422222;506;0.3
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;16;0.0001;0.9;0.020145283;0.151310915;506;2.03
relu;(100, 50, 25);0;0.003;l1;0.001;16;0.0001;0.9;0.020154649;0.150916318;506;1.26
relu;(100, 100, 100, 50);0;0.001;l1;0.001;32;1.00E-05;0.9;0.020157231;0.150807558;506;2.89
relu;(100, 100, 100, 50);0;0.03;l2;0.001;64;1.00E-05;0.9;0.020162253;0.15059599;504;1.75
