akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(50, 25);0;0.03;l2;1.00E-05;32;1.00E-05;0.8;0.014956189;0.285747508;610;1.57
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;1.00E-06;0.8;0.014956273;0.285743544;732;5.57
relu;(50, 25);0;0.01;l2;0.001;32;1.00E-06;0.99;0.014957685;0.285676112;610;1.48
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-06;0.99;0.01495769;0.285675866;549;4.14
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.8;0.014958346;0.2856445;549;3.81
relu;(50, 25);0;0.003;l2;0.001;16;1.00E-06;0.9;0.01495993;0.285568885;732;1.74
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;64;1.00E-05;0.8;0.014962752;0.2854341;549;3.91
relu;(100, 50, 25);0;0.003;l2;0.001;16;1.00E-05;0.8;0.014965814;0.28528787;732;5.47
relu;(50, 25);0.1;0.01;l1;1.00E-05;16;1.00E-06;0.9;0.014965867;0.285285326;732;2.4
relu;(50, 25);0;0.01;l2;1.00E-05;16;1.00E-05;0.8;0.014968884;0.285141285;732;1.66
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;1.00E-06;0.8;0.014976929;0.284757074;549;3.78
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;16;1.00E-05;0.8;0.014978124;0.284699999;732;3.98
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;16;1.00E-06;0.9;0.014980977;0.284563737;732;4.37
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;32;1.00E-05;0.8;0.014981246;0.284550924;610;3.61
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;32;1.00E-06;0.8;0.014982114;0.28450943;610;3.75
relu;(50, 25);0;0.03;l2;1.00E-05;16;1.00E-06;0.9;0.014982361;0.28449767;732;1.7
relu;(100, 50, 25);0;0.01;l1;1.00E-05;16;1.00E-05;0.99;0.014983079;0.284463378;732;4.68
relu;(50, 25);0;0.01;l2;0.001;16;1.00E-05;0.99;0.014983332;0.284451303;732;1.88
relu;(100, 50, 25);0;0.01;l2;0.001;16;1.00E-06;0.8;0.014984939;0.284374555;732;5.33
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;32;1.00E-06;0.8;0.014985099;0.284366913;610;5.78
relu;(100, 50, 25);0;0.01;l2;0.001;64;1.00E-05;0.99;0.014986792;0.284286048;549;2.68
relu;(100, 50, 25);0;0.01;l2;1.00E-05;64;1.00E-06;0.99;0.014987167;0.284268159;549;4.36
relu;(100, 50, 25);0;0.01;l2;0.001;16;1.00E-06;0.99;0.014987181;0.284267464;732;5.33
relu;(100, 50, 25);0;0.01;l2;0.001;16;1.00E-05;0.9;0.014987265;0.284263451;732;5.06
relu;(50, 25);0.1;0.03;l1;1.00E-05;64;1.00E-06;0.9;0.014987617;0.284246625;549;1.95
relu;(100, 100, 100, 50);0;0.003;l1;1.00E-05;16;1.00E-06;0.8;0.014989669;0.284148647;732;4.22
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;1.00E-05;0.8;0.014990718;0.284098556;610;3.83
relu;(50, 25);0;0.003;l1;1.00E-05;16;1.00E-05;0.99;0.014991333;0.284069197;732;1.92
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;32;1.00E-06;0.8;0.014991366;0.284067611;610;3.92
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;1.00E-05;0.8;0.014991554;0.284058646;732;4.17
relu;(100, 100, 100, 50);0.1;0.003;l1;1.00E-05;64;1.00E-06;0.9;0.014993319;0.283974323;549;5.48
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;32;1.00E-06;0.9;0.01499364;0.283959019;610;3.62
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;32;1.00E-06;0.9;0.014993758;0.283953378;610;3.55
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;1.00E-05;0.9;0.014995338;0.283877903;549;4.03
relu;(50, 25);0;0.01;l2;1.00E-05;32;1.00E-05;0.9;0.014995353;0.283877198;610;1.49
relu;(100, 50, 25);0;0.01;l2;0.001;32;1.00E-05;0.9;0.014995639;0.283863563;610;2.61
relu;(100, 50, 25);0;0.01;l2;1.00E-05;64;1.00E-06;0.9;0.014995992;0.283846701;549;4.4
relu;(100, 50, 25);0;0.003;l2;0.001;64;1.00E-05;0.9;0.014996876;0.283804478;549;4.68
relu;(50, 25);0;0.03;l2;0.001;64;0.0001;0.9;0.014996882;0.283804186;549;1.44
relu;(50, 25);0;0.003;l2;0.001;64;1.00E-06;0.8;0.014996894;0.283803628;549;1.66
relu;(50, 25);0;0.03;l2;0.001;32;0.0001;0.9;0.014997373;0.283780753;610;1.44
relu;(50, 25);0;0.03;l1;1.00E-05;32;1.00E-05;0.99;0.014997508;0.283774301;610;1.72
relu;(100, 50, 25);0;0.01;l2;0.001;64;1.00E-05;0.9;0.014997734;0.283763487;549;2.54
relu;(100, 50, 25);0;0.001;l2;1.00E-05;32;1.00E-06;0.99;0.014998164;0.283742937;610;6.72
relu;(50, 25);0;0.003;l2;1.00E-05;64;1.00E-05;0.99;0.014999896;0.283660245;549;1.54
relu;(100, 100, 100, 50);0.1;0.01;l1;1.00E-05;16;1.00E-06;0.9;0.014999982;0.283656124;732;7.15
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-05;0.9;0.014999995;0.283655505;610;4.41
relu;(100, 50, 25);0;0.03;l1;1.00E-05;64;1.00E-05;0.8;0.015000238;0.283643929;549;2.69
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;32;1.00E-05;0.99;0.015000333;0.283639355;610;3.68
relu;(50, 25);0;0.03;l2;1.00E-05;64;0.0001;0.9;0.015000921;0.28361131;549;1.44
relu;(50, 25);0;0.03;l2;1.00E-05;16;0.0001;0.9;0.015004656;0.28343293;732;1.84
relu;(50, 25);0.1;0.01;l2;1.00E-05;16;1.00E-06;0.8;0.015004728;0.283429511;732;2.32
relu;(100, 50, 25);0.1;0.01;l1;1.00E-05;64;1.00E-06;0.8;0.015005466;0.283394238;549;3.72
relu;(100, 50, 25);0;0.003;l2;1.00E-05;16;1.00E-06;0.99;0.015006412;0.283349089;732;4.82
relu;(100, 50, 25);0;0.03;l2;1.00E-05;32;1.00E-06;0.9;0.015008465;0.283251011;610;2.62
