akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(100, 50, 25);0.1;0.01;l1;0.0001;32;0.9;0.9;1.00E-08;0.020007056;0.201032956;506;1.16
relu;(100, 100, 100, 50);0;0.001;none;0.0001;32;0.99;0.9;1.00E-06;0.02000779;0.201003644;506;1.12
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;64;0.9;0.9;1.00E-08;0.020009818;0.200922666;504;0.98
relu;(50, 50, 50);0;0.03;none;0.01;64;0.8;0.99;1.00E-08;0.020010366;0.200900779;504;0.43
relu;(100, 50, 25);0.1;0.03;l2;1.00E-05;32;0.8;0.9;1.00E-06;0.020019763;0.200525523;506;0.8
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;64;0.99;0.99;1.00E-08;0.020034672;0.199930108;504;1.55
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;32;0.99;0.99;1.00E-06;0.020045449;0.199499765;506;1.39
relu;(100, 100, 100, 50);0;0.01;l2;1.00E-05;16;0.9;0.99;1.00E-08;0.020054109;0.199153925;506;0.95
relu;(100, 50, 25);0.1;0.001;l2;1.00E-05;32;0.99;0.9;1.00E-08;0.020061244;0.198869001;506;0.75
relu;(50, 50, 50);0;0.01;l1;0.0001;32;0.9;0.999;1.00E-08;0.020063533;0.198777601;506;0.41
relu;(50, 50, 50);0.1;0.01;l1;1.00E-05;32;0.9;0.999;1.00E-08;0.020064258;0.198748628;506;0.82
relu;(100, 50, 25);0;0.03;none;1.00E-05;32;0.9;0.9;1.00E-08;0.020074435;0.198342231;506;0.36
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.8;0.9;1.00E-08;0.0200773;0.198227815;506;0.29
relu;(100, 50, 25);0.1;0.01;none;0.01;16;0.9;0.9;1.00E-06;0.020082888;0.198004647;506;0.63
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.8;0.9;1.00E-08;0.020087619;0.197815726;506;0.76
relu;(100, 50, 25);0;0.03;l1;0.0001;16;0.8;0.99;1.00E-08;0.020092831;0.1976076;506;0.32
relu;(50, 50, 50);0.1;0.01;l1;0.0001;64;0.8;0.999;1.00E-08;0.020093064;0.197598295;504;0.66
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;32;0.9;0.999;1.00E-08;0.020094938;0.197523448;506;1.16
relu;(50, 50, 50);0;0.001;l2;0.01;16;0.8;0.999;1.00E-08;0.020095429;0.197503856;506;0.34
relu;(100, 100, 100, 50);0;0.01;none;1.00E-05;32;0.9;0.9;1.00E-08;0.020097056;0.197438886;506;1.31
relu;(100, 50, 25);0.1;0.01;l2;1.00E-05;64;0.9;0.9;1.00E-06;0.02009764;0.197415529;504;1.02
relu;(100, 100, 100, 50);0;0.03;l1;1.00E-05;64;0.9;0.999;1.00E-06;0.020098531;0.197379947;504;1.36
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;32;0.9;0.999;1.00E-08;0.020106538;0.197060222;506;1.33
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;64;0.8;0.99;1.00E-06;0.020108554;0.196979713;504;1.41
relu;(100, 50, 25);0.1;0.01;none;0.0001;32;0.9;0.9;1.00E-08;0.020109091;0.196958273;506;0.99
relu;(100, 100, 100, 50);0.1;0.001;l1;1.00E-05;32;0.8;0.9;1.00E-06;0.02010963;0.19693674;506;1.91
relu;(100, 100, 100, 50);0.1;0.01;none;0.01;16;0.8;0.9;1.00E-06;0.020113186;0.196794714;506;1.56
relu;(100, 100, 100, 50);0.1;0.01;l2;0.0001;64;0.9;0.99;1.00E-08;0.020120039;0.196521066;504;1.83
relu;(100, 50, 25);0;0.03;l1;0.0001;16;0.9;0.99;1.00E-06;0.020121987;0.196443256;506;0.39
relu;(50, 50, 50);0.1;0.01;none;0.0001;64;0.8;0.999;1.00E-08;0.020132548;0.196021521;504;0.73
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;32;0.9;0.9;1.00E-08;0.020136633;0.195858407;506;1.31
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;16;0.9;0.99;1.00E-06;0.020137222;0.19583485;506;1.34
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.9;0.999;1.00E-08;0.020143743;0.195574473;504;0.41
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;32;0.8;0.9;1.00E-06;0.020144161;0.195557757;506;1.47
relu;(50, 50, 50);0.1;0.001;none;0.0001;64;0.8;0.9;1.00E-06;0.020147198;0.195436501;504;0.49
relu;(100, 50, 25);0;0.03;none;0.0001;32;0.9;0.999;1.00E-06;0.020148889;0.195368969;506;0.33
